PIT,EAN
133741110,7892597347056
133453185,7892597347049
133453249,7892597347001
133453126,7892597346844
133453169,7892597346707
132444050,7892597340927
132207708,7892597340644
132220822,7892597340583
131349667,7892597339969
134114783,7892509104524
134114741,7892509104494
134121721,7892509104463
134114783,7892509104425
134114741,7892509104388
134121721,7892509104340
134061765,7892509104166
134061781,7892509104128
134060210,7892509104081
134114724,7892509104043
134114661,7892509103961
134114767,7892509103923
134060172,7892509103909
134061706,7892509103893
134061781,7892509103879
134060210,7892509103862
134060199,7892509103404
134061749,7892509103367
134061722,7892509103329
134060156,7892509103299
134060172,7892509103251
134061706,7892509103213
134060199,7892509103145
134061749,7892509103138
134061722,7892509103121
134060156,7892509103114
134061765,7892509103107
134114724,7892509103091
134114661,7892509103077
134114767,7892509103060
133794107,7892509102957
133794123,7892509102940
133797404,7892509099929
134117141,7892509099851
133797421,7892509099837
133731042,7892509099530
133730963,7892509099523
133731085,7892509099493
133728177,7892509099462
133731000,7892509099394
133731026,7892509099363
133730980,7892509099325
133731085,7892509099295
133728177,7892509099264
133731000,7892509099202
133731026,7892509099172
133730980,7892509099141
133731042,7892509099127
133730963,7892509099110
133731149,7892509099097
133731149,7892509099073
133731069,7892509099066
133731165,7892509099059
133821267,7892509099042
133822041,7892509099035
133620828,7892509098960
133731069,7892509098786
133731165,7892509098779
133731122,7892509098748
133731106,7892509098700
133609143,7892509098441
133610769,7892509098403
133609047,7892509098366
133609143,7892509098335
133610769,7892509098304
133609047,7892509098274
133731122,7892509098243
133731106,7892509098212
133621708,7892509098045
133609160,7892509098038
133612810,7892509098021
133609194,7892509098014
133612713,7892509098007
133621708,7892509097994
133609160,7892509097987
133609215,7892509097970
133612810,7892509097963
133609194,7892509097956
133612713,7892509097949
133609215,7892509097802
133620828,7892509097789
133791184,7892509097741
133780805,7892509097727
133791942,7892509097697
133736741,7892509097475
133274988,7892509097437
133274769,7892509097390
133274929,7892509097352
133273660,7892509097314
133274700,7892509097277
133275702,7892509097239
133274988,7892509097192
133274769,7892509097154
133274929,7892509097116
133273660,7892509097079
133274700,7892509097031
133275702,7892509096997
133273686,7892509096973
133274881,7892509096966
133799733,7892509096898
133756442,7892509096881
133756910,7892509096546
133797148,7892509096515
133756522,7892509096492
133756485,7892509096485
133273686,7892509096287
133274881,7892509096270
133618701,7892509096232
133664741,7892509096188
133621821,7892509096164
133055312,7892509095686
133055259,7892509095679
133055275,7892509095662
133055291,7892509095655
133077722,7892509095648
133055785,7892509095631
133055312,7892509095624
133055259,7892509095617
133055275,7892509095600
133055291,7892509095594
133077722,7892509095587
133055785,7892509095570
132532746,7892509095181
132532746,7892509095150
132524674,7892509095020
132710709,7892509095006
132638866,7892509094948
132380261,7892509094580
132380164,7892509094542
132380164,7892509094481
132474267,7892509094443
132488706,7892509093859
132229131,7892509093675
132229131,7892509093644
132381845,7892509093057
132381802,7892509093040
132386128,7892509093033
132118351,7892509092012
132116849,7892509091978
132118377,7892509091930
132118393,7892509091893
132118457,7892509091855
132118431,7892509091817
132118351,7892509091770
132116849,7892509091732
132118393,7892509091664
132118457,7892509091626
131665660,7892509091404
131657512,7892509091398
131657539,7892509091381
131657539,7892509091374
131657512,7892509091367
131665660,7892509091350
132118377,7892509091039
132380261,7892509091022
132118431,7892509091008
129542708,7892509089920
129542708,7892509089883
132474267,7892509089159
132475745,7892509089135
132475745,7892509087087
125916485,7892509086998
125916485,7892509086936
125768072,7892509086462
125768056,7892509086455
125768072,7892509085960
125768056,7892509085953
122701411,7892509083904
123021098,7892509079624
123021119,7892509079617
125628846,7892509078368
123068591,7892509078313
123068611,7892509078306
123021098,7892509078290
123068611,7892509078245
123068591,7892509078238
123021119,7892509078184
133269812,7891356074127
133269812,7891356074110
133187753,7891356073748
133187753,7891356073731
133136702,7891356072888
133136702,7891356072871
132665813,7891356072383
132665813,7891356072376
132501149,7891356068454
132501149,7891356068447
129543971,7891356066900
129543971,7891356066894
126109440,7891356065569
126109440,7891356065552
127878831,7891356065163
127878831,7891356065156
130819444,7891356064548
130819444,7891356064531
126109386,7891356062612
126109386,7891356062599
113106282,7891356048111
113106282,7891356048098
117294081,7891356047312
117294081,7891356047305
110757661,7891356042218
110757661,7891356042195
113998217,7891356033353
113998217,7891356033346
124292375,7891356008900
124292375,7891356008894
122059414,7891356001383
122059414,7891356001369
132718727,7891129252837
132718727,7891129252820
133567705,7891129252776
133567705,7891129252769
133605812,7891129252752
133605812,7891129252745
133605724,7891129252738
133605724,7891129252721
133257344,7891129252714
133257344,7891129252707
132717231,7891129252066
132717231,7891129252059
132532244,7891129252042
132532244,7891129252035
132717265,7891129251908
132522871,7891129251731
132522847,7891129251724
132718891,7891129251687
132718891,7891129251670
132717265,7891129251595
132718911,7891129251588
132718911,7891129251571
132522871,7891129251359
132522847,7891129251342
131103448,7891129251212
132524332,7891129250826
132524332,7891129250819
132524261,7891129250314
132524261,7891129250307
132717302,7891129250093
132717302,7891129250086
131808641,7891129246607
133233191,7891129246577
133233191,7891129246560
133233238,7891129246553
133233238,7891129246546
133234775,7891129246515
133234775,7891129246508
131813722,7891129246232
132733927,7891129246027
130027877,7891129245488
130027877,7891129245471
129019474,7891129244016
129019415,7891129244009
132733927,7891129243910
129028784,7891129243828
126430647,7891129241985
126430647,7891129241930
124651471,7891129238466
124651454,7891129238459
124651374,7891129238404
124651391,7891129238114
132733871,7891129237728
132733871,7891129237711
124738331,7891129236714
124738331,7891129236707
122071667,7891129234956
122071667,7891129234925
120211865,7891129234369
120211865,7891129234352
126430671,7891129234321
126430671,7891129234314
120277055,7891129233621
120277039,7891129233614
121385971,7891129230620
121385971,7891129230613
119934610,7891129224070
119934610,7891129224063
119934644,7891129224056
119934644,7891129224049
118419392,7891129220461
118419392,7891129220454
116796362,7891129220430
116796362,7891129220423
117966044,7891129220010
117966044,7891129219939
117966010,7891129219922
117966010,7891129219915
116703269,7891129219229
116703269,7891129219212
117693277,7891129217423
117693277,7891129217416
117693171,7891129217355
117693171,7891129217348
116108013,7891129216167
116108013,7891129216150
116107985,7891129216143
116107985,7891129216136
116107897,7891129215887
116107897,7891129215870
116080401,7891129215863
116080401,7891129215856
121882564,7891129209152
111574111,7891129206212
111574111,7891129206205
7425012,7891129195271
7425012,7891129195264
108679781,7891129187719
108770509,7891129186415
108770509,7891129186408
5091194,7891129185418
5091194,7891129184657
5091204,7891129180574
5091204,7891129180567
108679781,7891129170858
119852892,7891129131316
119852892,7891129131309
119195917,7640156770902
119195917,7640156770889
133453724,5690510591669
133453708,5690510591515
133718331,5280000241756
133718358,5280000241749
133799910,4713883759120
133799899,4713883628716
133284449,4713883600804
133284748,4713883537766
133284705,4713883537759
133518305,4713883452830
133518284,4713883452823
133459747,4713883419956
132620906,4713883368254
132620869,4713883368230
132620922,4713883200103
133839782,4548736086241
133789703,4548736075368
133780821,4548736075351
133789720,4548736075313
132610169,4548736049482
132313551,4548736044029
132326651,4548736044005
122156345,3016661144561
122156345,3016661144554
119465358,3016661142567
119465358,3016661142550
119465323,3016661142543
119465323,3016661142536
132762592,889842208528
126831715,811571016884
126831715,811571016884
126831715,811571016518
134104008,711719519560
134118961,192940026407
133775918,192563968542
133775934,192330913096
133774026,192330913072
132763860,191800109700
132381423,191545695162
132384801,191545644719
134074531,190198793515
134074611,190198793171
134073942,190198792846
134074494,190198792501
134074427,190198792167
134073846,190198791825
134074005,190198791481
134074347,190198791146
134074081,190198790804
134074574,190198785732
134074401,190198785398
134074267,190198785053
134073862,190198784711
134074179,190198784377
134074700,190198784032
134074558,190198783691
134073985,190198783356
134073820,190198783011
134074515,190198776112
134073900,190198775771
134074152,190198775436
134073782,190198775092
134074241,190198774750
134074380,190198774422
134074064,190198774088
134074363,190198773746
134074136,190198773401
134073723,190198773067
134074591,190198772725
134074321,190198772381
134073766,190198772046
134073926,190198771704
134073889,190198771360
134074195,190198771025
134074443,190198770684
134071701,190198770349
132490726,190198462077
132490742,190198462060
132722700,190198458421
132722726,190198458063
